NQUEST;NCOMP;nord;SEX;PARENT;NASC;ANASC;CIT;ANINGR;MOTIV;STACIV;STUDIO;TIPOLAU;VOTOEDU;SUEDU;SELODE;ANNOEDU;TIPODIP;UNIVER;PRESNORD;NORDP;MOTENT;ANNOENUS;B01;APQUAL2;ASNONOC2;NACE2;NESPLAV;EXLAV;ETALAV;DISLAV;DISANN1;DISANN2;CONTRIB;ACONTRIB;FCONTRIB;OCCNOW;PROBLAV1;CERC2;PROBLAV2;SALMIN;SMARTW;SMARTWA;SMARTWB;ETAPEN;COPPU;PREVCOM;COPPIP;b22;b23a;b23b;b24;b25a;b25b;b25c;ATTIVP;ISCO;NACE;ETALAV2;MISCOVID1;MISCOVID2;MISCOVIDV1;ETA;NASCREG;NASCAREA;IREG;PARENTP;smartwa1;CLETA5;QUAL;Q;SETT;CFRED;PERC;PERL;NPERL;NPERC;AREA3;AREA5;ACOM4C;ACOM5;PESOFIT2;PESOFIT
173;1;1;1;1;1;1948;1;;;3;5;;44;60;;1968;2;2;1;1;;;2;15;2;19;1;;25;2;;;1;35;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;72;18;3;18;;;5;6;3;5;1;1;0;0;1;3;4;2;4;16.048.708.184;0.3954309179
633;1;1;2;1;1;1934;1;;;4;3;;;;;;;;1;1;;;2;16;;;3;1;16;1;20;;1;20;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;86;5;1;5;;;5;6;3;5;1;1;0;0;1;1;2;1;3;41.628.749.898;10.257.083.993
923;1;1;2;1;1;1932;1;;;4;2;;;;;;;;1;1;;;2;16;;;0;;;;;;;;;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;88;13;3;13;;;5;6;3;5;1;1;0;0;1;3;4;2;4;36.063.505.231;0.888583979
2886;2;1;1;1;1;1949;1;;;1;5;;37;60;;1970;2;1;1;1;;;2;15;2;16;1;;26;2;;;1;35;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;71;13;3;13;;;5;6;3;5;0;1;0;0;2;3;4;2;3;10.144.554.046;0.2499559635
2886;2;2;2;2;1;1952;1;;;1;6;3;110;110;1;2001;5;;1;2;;;2;15;2;17;1;;20;2;;;1;42;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;68;13;3;13;;;5;6;3;5;1;1;0;0;2;3;4;2;3;10.144.554.046;0.2499559635
3717;1;1;2;1;1;1954;1;;;2;4;;;;;;;;1;1;;;2;13;;;2;1;18;1;38;;1;8;0;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;66;16;3;16;;;5;7;3;5;1;1;0;0;1;3;4;2;4;52.184.483.186;0.1285795582
5416;4;1;2;1;1;1958;1;;;3;3;;;;;;;;1;1;;;2;15;1;19;3;1;16;2;;;1;30;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;62;8;1;8;;;4;6;3;5;0;1;0;3;4;1;2;2;4;25.628.170.879;0.6314633563
5416;4;2;2;6;1;1979;1;;;3;5;;68;100;;1998;2;2;2;2;;;1;2;;;2;1;19;2;;;1;18;0;1;;2;;;2;;;;;2;;1;2;2;2;2;2;2;;4311;19;20;2;2;;41;8;1;8;;;2;2;1;4;0;1;1;3;4;1;2;2;4;25.628.170.879;0.6314633563
5416;4;3;2;6;1;1991;1;;;2;5;;70;100;;2010;2;2;2;3;;;1;2;;;1;;18;2;;;1;6;0;1;;2;;;2;;;;;2;;1;2;2;2;2;2;2;;8143;3;;2;2;;29;8;1;8;;;1;2;1;2;0;1;1;3;4;1;2;2;4;25.628.170.879;0.6314633563
5416;4;4;1;6;1;1981;1;;;2;4;;;;;;;;2;4;;;1;2;;;3;1;17;2;;;1;14;0;1;;2;;;2;;;;;2;;1;2;2;2;2;2;2;;8143;19;17;2;2;;39;8;1;8;;;2;2;1;4;1;1;1;3;4;1;2;2;4;25.628.170.879;0.6314633563
7886;2;1;1;1;1;1950;1;;;1;5;;36;60;;1969;2;2;1;1;;;2;15;2;11;1;;22;2;;;1;35;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;70;9;2;9;;;5;6;3;5;1;1;0;1;2;2;3;0;2;52.002.735.908;12.813.174.342
7886;2;2;2;2;1;1953;1;;;1;5;;36;60;;1974;2;2;2;2;;;1;2;;;1;;52;2;;;1;15;0;2;;2;;;;;;;;2;;1;2;2;2;1;2;2;;4223;17;;2;2;;67;9;2;9;;;5;2;1;3;0;1;1;1;2;2;3;0;2;52.002.735.908;12.813.174.342
20297;2;1;1;1;1;1960;1;;;1;3;;;;;;;;1;1;;;2;15;1;19;3;1;14;2;;;1;39;1;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;60;5;1;5;;;4;6;3;5;1;1;0;1;2;1;2;2;5;48.692.330.996;11.997.509.656
20297;2;2;2;2;2;1979;2;2007;4;1;3;;;;;;;;2;2;;;1;1;;;3;1;29;1;1;;1;11;0;1;;2;;;2;;;;;2;;1;2;2;2;1;2;2;;9112;9;31;2;2;;41;;;5;;;2;1;1;4;0;1;1;1;2;1;2;2;5;48.692.330.996;11.997.509.656
20711;2;1;2;1;1;1945;1;;;1;3;;;;;;;;1;1;;;2;13;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;75;4;1;4;;;5;7;3;5;0;0;0;0;1;1;2;0;2;10.194.750.713;25.119.278.051
20711;2;2;1;2;1;1944;1;;;1;2;;;;;;;;2;2;;;2;15;1;6;3;1;15;2;;;1;37;1;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;76;4;1;4;;;5;6;3;5;1;1;0;0;1;1;2;0;2;10.194.750.713;25.119.278.051
22099;2;1;1;1;1;1958;1;;;1;3;;;;;;;;1;1;;;1;7;;;1;;18;2;;;1;38;0;1;50;2;;;2;;;68;50;;;2;1;2;2;2;2;2;;5141;19;;1;2;1800;62;15;3;15;;;4;4;2;4;1;1;1;1;1;3;4;1;3;52.830.253.901;13.017.070.005
22099;2;2;2;2;1;1962;1;;;1;2;;;;;;;;2;2;;;2;13;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;58;15;3;15;;;4;7;3;5;0;0;0;1;1;3;4;1;3;52.830.253.901;13.017.070.005
22169;1;1;2;1;1;1944;1;;;4;2;;;;;;;;1;1;;;2;15;1;19;1;;40;2;;;1;5;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;76;15;3;15;;;5;6;3;5;1;1;0;0;1;3;4;3;5;59.896.158.147;14.758.068.078
22173;3;1;2;1;1;1975;1;;;2;5;;50;60;;1994;2;2;1;3;;;1;2;;;1;;25;2;;;1;20;0;1;50;2;;;2;;;65;80;2;;1;2;2;2;2;2;2;;2411;14;;2;2;;45;15;3;15;;;3;2;1;4;1;1;1;1;2;3;4;3;5;1.026.337.099;25.288.354.456
22173;3;2;1;4;1;1938;1;;;4;2;;;;;;;;1;1;;;2;16;;;0;;;;;;;;;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;82;15;3;15;;;5;6;3;5;0;1;0;1;2;3;4;3;5;1.026.337.099;25.288.354.456
22173;3;3;2;7;1;2011;1;;;2;1;;;;;;;;;4;;;2;17;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;2;;0;;;;;;9;15;3;15;;;1;7;3;5;0;0;0;1;2;3;4;3;5;1.026.337.099;25.288.354.456
22276;1;1;1;1;1;1949;1;;;2;5;;50;60;;1968;2;2;1;1;;;2;15;2;14;1;;18;2;;;1;37;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;71;8;1;8;;;5;6;3;5;1;1;0;0;1;1;2;0;1;66.136.111.406;16.295.556.589
22286;2;1;1;1;1;1950;1;;;1;2;;;;;;;;1;1;;;2;15;1;16;2;1;15;2;;;1;19;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;70;8;1;8;;;5;6;3;5;1;1;0;0;2;1;2;0;1;91.533.136.292;22.553.237.112
22286;2;2;2;2;1;1956;1;;;1;2;;;;;;;;1;2;;;2;15;1;3;2;1;15;2;;;1;35;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;64;8;1;8;;;4;6;3;5;0;1;0;0;2;1;2;0;1;91.533.136.292;22.553.237.112
22624;4;1;2;1;1;1961;1;;;1;3;;;;;;;;1;2;;;2;13;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;59;15;3;15;;;4;7;3;5;0;0;0;2;2;3;4;2;4;38.779.351.215;0.9555008584
22624;4;2;1;2;1;1957;1;;;1;2;;;;;;;;2;1;;;1;1;;;1;;14;1;8;;1;25;0;1;;2;;;2;;;;;2;;1;2;2;2;2;2;2;;6210;8;;2;2;;63;15;3;15;;;4;1;1;4;1;1;1;2;2;3;4;2;4;38.779.351.215;0.9555008584
22624;4;3;2;6;1;1995;1;;;2;5;;100;100;;2014;3;1;2;3;;;2;17;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;25;15;3;15;;;1;7;3;5;0;0;0;2;2;3;4;2;4;38.779.351.215;0.9555008584
22624;4;4;2;6;1;1997;1;;;2;5;;100;100;;2016;1;2;2;4;;;1;2;;;1;;23;2;;;2;;;1;;1;;;2;;;;;2;;1;2;2;2;2;2;2;;5223;19;;2;2;;23;15;3;15;;;1;2;1;4;0;1;1;2;2;3;4;2;4;38.779.351.215;0.9555008584
22657;2;1;2;1;1;1951;1;;;1;7;10;110;110;1;1980;3;;1;1;;;2;15;3;16;1;;25;2;;;1;40;2;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;69;16;3;16;;;5;6;3;5;0;1;0;0;2;3;4;2;5;15.392.958.968;0.3792736352
22657;2;2;1;2;1;1946;1;;;1;5;;36;60;;1968;2;2;2;2;;;2;15;2;10;1;;26;2;;;1;36;1;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;74;16;3;16;;;5;6;3;5;1;1;0;0;2;3;4;2;5;15.392.958.968;0.3792736352
23490;1;1;2;1;1;1937;1;;;2;5;;8;10;;1956;5;2;1;1;;;2;15;3;16;1;;23;2;;;1;36;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;83;5;1;5;;;5;6;3;5;1;1;0;0;1;1;2;1;3;28.135.931.332;0.6932531282
23797;2;1;1;1;1;1955;1;;;1;3;;;;;;;;1;1;;;1;1;;;1;;32;2;;;1;33;0;1;80;2;;;2;;;67;80;2;;1;2;2;2;2;2;2;;5153;19;;2;2;;65;15;3;15;;;5;1;1;4;1;1;1;1;1;3;4;3;5;92.487.559.179;0.2278840141
23797;2;2;2;2;1;1958;1;;;1;2;;;;;;;;2;2;;;2;13;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;62;15;3;15;;;4;7;3;5;0;0;0;1;1;3;4;3;5;92.487.559.179;0.2278840141
23821;2;1;2;1;1;1968;1;;;2;4;;;;;;;;1;2;;;2;13;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;52;16;3;16;;;3;7;3;5;0;0;0;0;1;3;4;2;4;48.360.053.392;0.1191563837
23821;2;2;2;4;1;1936;1;;;4;2;;;;;;;;1;1;;;2;13;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;84;16;3;16;;;5;7;3;5;1;1;0;0;1;3;4;2;4;48.360.053.392;0.1191563837
23823;2;1;2;1;1;1936;1;;;4;2;;;;;;;;1;1;;;2;16;;;0;;;;;;;;;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;84;16;3;16;;;5;6;3;5;0;1;0;1;2;3;4;2;4;24.028.100.347;0.5920385408
23823;2;2;2;6;1;1972;1;;;2;5;;36;60;;1991;3;2;2;2;;;1;2;;;1;;20;2;;;1;20;0;1;;2;;;1;0;0;;;2;;1;2;2;2;2;2;2;;3112;11;;2;2;;48;16;3;16;;;3;2;1;4;1;1;1;1;2;3;4;2;4;24.028.100.347;0.5920385408
24147;2;1;1;1;1;1948;1;;;1;7;4;108;110;0;1974;3;;1;1;;;2;15;4;10;3;1;26;2;;;1;35;6;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;72;4;1;4;;;5;6;3;5;1;1;0;0;2;1;2;0;2;38.159.334.952;0.9402240151
24147;2;2;2;2;1;1958;1;;;1;5;;50;60;;1976;5;2;1;2;;;2;15;3;16;1;;18;2;;;1;45;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;62;4;1;4;;;4;6;3;5;0;1;0;0;2;1;2;0;2;38.159.334.952;0.9402240151
24809;1;1;2;1;1;1939;1;;;4;2;;;;;;;;1;1;;;2;13;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;81;16;3;16;;;5;7;3;5;1;1;0;0;1;3;4;2;5;27.395.084.199;0.6749990819
24853;2;1;1;1;1;1957;1;;;1;3;;;;;;;;1;1;;;2;15;2;15;1;;18;2;;;1;38;5;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;63;16;3;11;;;4;6;3;5;1;1;0;1;2;2;3;2;3;1.393.267.418;0.3432930599
24853;2;2;2;2;1;1962;1;;;1;5;;36;60;;1980;5;1;1;2;;;1;3;;;1;;30;2;;;1;22;0;1;100;2;;;1;0;0;67;55;2;;1;2;2;2;2;2;2;;2341;16;;2;2;;58;16;3;11;;;4;2;1;3;0;1;1;1;2;2;3;2;3;1.393.267.418;0.3432930599
27114;1;1;2;1;1;1938;1;;;4;2;;;;;;;;1;1;;;2;16;;;0;;;;;;;;;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;82;19;3;19;;;5;6;3;5;1;1;0;0;1;3;5;1;3;50.651.598.276;12.480.261.819
27116;1;1;2;1;1;1940;1;;;4;3;;;;;;;;1;1;;;2;15;7;22;1;;40;2;;;1;10;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;80;19;3;19;;;5;6;3;5;1;1;0;0;1;3;5;1;3;50.651.598.276;12.480.261.819
27238;3;1;1;1;1;1952;1;;;1;3;;;;;;;;1;1;;;2;15;1;3;3;1;16;2;;;1;31;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;68;12;2;12;;;5;6;3;5;1;1;0;2;3;2;3;0;1;14.833.510.768;36.548.915.409
27238;3;2;2;2;1;1961;1;;;1;3;;;;;;;;2;2;;;1;2;;;1;;22;2;;;1;30;0;1;;2;;;2;;;;;2;;1;2;2;2;2;2;2;;4120;13;;2;2;;59;12;2;12;;;4;2;1;4;0;1;1;2;3;2;3;0;1;14.833.510.768;36.548.915.409
27238;3;3;1;6;1;1978;1;;;2;3;;;;;;;;2;;2;2018;1;1;;;2;1;16;2;;;1;20;0;1;;2;;;2;;;;;2;;1;2;2;2;1;2;2;;7221;3;23;2;2;;42;12;2;12;;;2;1;1;2;0;1;1;2;3;2;3;0;1;14.833.510.768;36.548.915.409
27730;4;1;1;1;1;1939;1;;;1;2;;;;;;;;1;2;;;2;15;1;3;1;;15;2;;;1;37;1;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;81;20;3;20;;;5;6;3;5;0;1;0;1;2;3;5;1;3;27.179.778.281;0.6696940682
27730;4;2;2;2;1;1949;1;;;1;3;;;;;;;;1;1;;;2;13;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;71;20;3;20;;;5;7;3;5;0;0;0;1;2;3;5;1;3;27.179.778.281;0.6696940682
27730;4;3;1;6;1;1985;1;;;2;5;;64;100;;2009;2;2;2;4;;;1;2;;;1;;25;2;;;1;10;0;1;;2;;;1;2;0;;;2;;1;2;2;2;1;2;2;;2411;13;;2;2;;35;20;3;20;;;2;2;1;4;1;1;1;1;2;3;5;1;3;27.179.778.281;0.6696940682
27730;4;4;2;6;1;1972;1;;;2;3;;;;;;;;2;3;;;2;12;1;9;1;;25;;;20;1;5;0;2;;1;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;48;20;3;20;;;3;7;3;5;0;0;0;1;2;3;5;1;3;27.179.778.281;0.6696940682
27734;2;1;1;1;1;1947;1;;;1;2;;;;;;;;1;2;;;2;15;1;3;1;;16;2;;;1;45;1;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;73;20;3;20;;;5;6;3;5;1;1;0;0;1;3;5;1;3;26.435.106.344;0.651345781
27734;2;2;2;2;1;1951;1;;;1;3;;;;;;;;1;1;;;2;13;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;69;20;3;20;;;5;7;3;5;0;0;0;0;1;3;5;1;3;26.435.106.344;0.651345781
27739;1;1;2;1;1;1938;1;;;4;2;;;;;;;;1;1;;;2;16;;;0;;;;;;;;;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;82;20;3;20;;;5;6;3;5;1;1;0;0;1;3;5;1;3;99.303.559.663;0.2446782464
27742;1;1;2;1;1;1932;1;;;4;2;;;;;;;;1;1;;;2;16;;;0;;;;;;;;;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;88;20;3;20;;;5;6;3;5;1;1;0;0;1;3;5;1;3;50.651.598.276;12.480.261.819
27912;2;1;1;1;1;1948;1;;;1;5;;55;60;;1967;2;2;1;1;;;2;15;2;15;1;;22;2;;;1;38;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;72;13;3;13;;;5;6;3;5;1;1;0;0;2;3;4;1;3;49.010.062.214;12.075.796.796
27912;2;2;2;2;1;1954;1;;;1;3;;;;;;;;1;2;;;2;15;1;3;1;;18;2;;;1;38;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;66;13;3;13;;;5;6;3;5;0;1;0;0;2;3;4;1;3;49.010.062.214;12.075.796.796
27923;4;1;1;1;1;1951;1;;;1;5;;48;60;;1971;2;2;1;1;;;2;15;2;22;2;1;22;2;;;1;38;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;69;13;3;13;;;5;6;3;5;1;1;0;0;3;3;4;1;3;2.544.741.326;0.6270095928
27923;4;2;2;2;1;1957;1;;;1;3;;;;;;;;2;2;;;2;13;;;1;;15;1;1;;1;8;0;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;63;12;2;13;;;4;7;3;5;0;0;0;0;3;3;4;1;3;2.544.741.326;0.6270095928
27923;4;3;1;6;1;1992;1;;;2;5;;52;60;;2012;3;2;2;3;;;2;16;;;0;;;;;;;;;2;;;;;;;;;;;;2;2;2;1;2;1;2;;0;;;;;;28;13;3;13;;;1;6;3;5;0;1;0;0;3;3;4;1;3;2.544.741.326;0.6270095928
27923;4;4;1;6;1;2000;1;;;2;5;;50;60;;2020;3;2;2;4;;;2;16;;;0;;;;;;;;;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;20;13;3;13;;;1;6;3;5;0;1;0;0;3;3;4;1;3;2.544.741.326;0.6270095928
28992;1;1;2;1;1;1941;1;;;4;3;;;;;;;;1;2;;;2;13;;;1;;20;2;;;1;10;0;2;;2;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;79;20;3;20;;;5;7;3;5;1;1;0;0;1;3;5;2;4;4.308.256.977;10.615.296.829
29140;2;1;1;1;1;1949;1;;;1;3;;;;;;;;1;1;;;2;15;1;16;2;1;15;1;3;;1;40;1;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;71;9;2;9;;;5;6;3;5;1;1;0;0;2;2;3;0;2;10.113.010.481;24.917.874.829
29140;2;2;2;2;1;1952;1;;;1;3;;;;;;;;1;2;;;2;15;1;13;2;1;14;1;7;;1;40;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;68;9;2;9;;;5;6;3;5;0;1;0;0;2;2;3;0;2;10.113.010.481;24.917.874.829
29678;2;1;1;1;1;1933;1;;;1;3;;;;;;;;1;1;;;2;15;2;15;3;1;14;2;;;1;35;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;87;19;3;19;;;5;6;3;5;1;1;0;0;1;3;5;2;4;22.484.824.807;0.5540131212
29678;2;2;2;2;1;1937;1;;;1;1;;;;;;;;1;2;;;2;13;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;83;19;3;19;;;5;7;3;5;0;0;0;0;1;3;5;2;4;22.484.824.807;0.5540131212
29680;4;1;1;1;1;1964;1;;;1;3;;;;;;;;1;1;;;1;1;;;1;;15;2;;;1;30;0;1;50;1;5;6;2;;;60;70;2;;1;2;2;2;2;2;2;;1324;7;;2;2;;56;19;3;19;;;4;1;1;4;1;1;1;2;2;3;5;2;4;37.247.426.259;0.9177551106
29680;4;2;2;2;1;1970;1;;;1;2;;;;;;;;2;2;;;2;13;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;50;19;3;19;;;3;7;3;5;0;0;0;2;2;3;5;2;4;37.247.426.259;0.9177551106
29680;4;3;1;6;1;1990;1;;;2;7;5;105;110;0;2020;2;;2;3;;;1;2;;;1;;30;2;;;1;1;0;1;;1;;;2;;;;;2;;1;2;2;2;2;2;2;;2161;13;;2;2;;30;19;3;19;;;1;2;1;4;0;1;1;2;2;3;5;2;4;37.247.426.259;0.9177551106
29680;4;4;1;6;1;1994;1;;;2;3;;;;;;;;2;4;;;2;12;1;3;1;;25;;;1;2;;;2;;1;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;26;19;3;19;;;1;7;3;5;0;0;0;2;2;3;5;2;4;37.247.426.259;0.9177551106
29737;2;1;1;1;1;1951;1;;;1;7;1;105;110;0;1975;3;;1;1;;;2;15;4;17;1;;31;2;;;1;35;5;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;69;16;3;16;;;5;6;3;5;1;1;0;0;2;3;4;2;5;76.966.680.848;0.1896414646
29737;2;2;2;2;1;1953;1;;;1;7;9;106;110;0;1976;5;;1;2;;;2;15;3;16;1;;26;2;;;1;38;4;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;67;16;3;16;;;5;6;3;5;0;1;0;0;2;3;4;2;5;76.966.680.848;0.1896414646
31093;1;1;1;1;1;1954;1;;;3;5;;45;60;;1980;2;2;1;1;;;1;9;;;3;3;17;2;;;1;35;0;1;100;2;;;2;;;67;50;;;2;1;2;2;2;2;2;;5221;7;35;2;2;;66;1;1;1;;;5;4;2;4;1;1;1;1;1;1;1;1;3;2.708.743.099;0.6674186842
31220;2;1;2;1;1;1938;1;;;1;2;;;;;;;;1;1;;;1;8;;;3;3;11;2;;;1;52;0;1;3;2;;;2;;;60;35;;;2;1;2;1;2;2;2;;3322;7;39;2;2;;82;8;1;8;;;5;5;2;4;1;1;1;1;2;1;2;1;3;16.503.877.096;0.4066460175
31220;2;2;1;2;1;1935;1;;;1;1;;;;;;;;1;2;;;2;15;1;17;3;1;11;2;;;1;24;2;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;85;8;1;8;;;5;6;3;5;0;1;0;1;2;1;2;1;3;16.503.877.096;0.4066460175
31221;2;1;2;1;1;1938;1;;;4;5;;36;60;;1960;3;1;1;1;;;2;15;7;19;2;3;21;2;;;1;23;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;82;12;2;8;;;5;6;3;5;1;1;0;0;2;1;2;1;3;30.714.118.944;0.7567781847
31221;2;2;2;6;1;1979;1;;;2;3;;;;;;;;2;2;;;2;16;;;0;;;;;;;;;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;41;8;1;8;;;2;6;3;5;0;1;0;0;2;1;2;1;3;30.714.118.944;0.7567781847
31625;1;1;2;1;1;1957;1;;;2;7;8;98;100;0;1982;2;;1;2;;;1;4;;;2;1;25;2;;;1;22;0;1;100;2;;;1;0;0;67;70;2;;1;2;2;2;2;2;2;;4312;11;41;2;2;;63;16;3;3;;;4;3;1;4;1;1;1;1;1;1;1;2;4;62.736.542.924;0.1545792251
31652;2;1;1;1;1;1941;1;;;1;3;;;;;;;;1;1;;;2;15;2;15;1;;19;2;;;1;35;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;79;15;3;3;;;5;6;3;5;1;1;0;0;2;1;1;0;1;20.633.588.424;50.839.972.391
31652;2;2;2;2;1;1943;1;;;1;7;9;108;110;0;1973;5;;1;2;;;2;15;3;16;1;;21;2;;;1;32;4;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;77;3;1;3;;;5;6;3;5;0;1;0;0;2;1;1;0;1;20.633.588.424;50.839.972.391
31695;2;1;1;1;1;1964;1;;;1;3;;;;;;;;1;2;;;1;1;;;1;;16;2;;;1;40;0;1;100;2;;;2;;;65;70;1;70;1;2;2;2;2;2;2;;7214;3;;2;2;;56;3;1;3;;;4;1;1;2;1;1;1;1;1;1;1;2;3;92.280.548.623;22.737.395.202
31695;2;2;2;2;1;1969;1;;;1;3;;;;;;;;2;1;;;2;13;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;51;13;3;3;;;3;7;3;5;0;0;0;1;1;1;1;2;3;92.280.548.623;22.737.395.202
31724;4;1;1;1;1;1958;1;;;1;5;;10;10;;1977;2;2;1;1;;;1;2;;;1;;19;2;;;1;42;0;2;;2;;;;;;63;80;1;80;1;2;2;2;2;2;2;;4323;8;;2;2;;62;7;1;7;;;4;2;1;4;1;1;1;2;4;1;1;0;2;27.073.141.027;0.6670665878
31724;4;2;2;2;1;1962;1;;;1;6;10;110;110;0;2001;2;;1;2;;;1;3;;;4;1;20;2;;;1;32;0;1;100;2;;;2;;;62;60;2;;1;2;2;2;1;2;1;;5321;17;27;2;2;;58;1;1;7;;;4;2;1;3;0;1;1;2;4;1;1;0;2;27.073.141.027;0.6670665878
31724;4;3;2;6;1;1996;1;;;2;6;4;110;110;0;2019;3;;2;4;;;2;17;;;2;1;21;2;;;1;1;0;1;;2;;;1;0;0;;;;;2;2;2;2;2;2;1;;0;;;;;;24;7;1;7;;;1;7;3;5;0;1;0;2;4;1;1;0;2;27.073.141.027;0.6670665878
31724;4;4;2;9;1;1999;1;;;2;5;;90;100;;2017;3;1;2;5;;;2;17;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;1;2;2;1;;0;;;;;;21;7;1;7;;;1;7;3;5;0;1;0;2;4;1;1;0;2;27.073.141.027;0.6670665878
31757;1;1;2;1;1;1935;1;;;4;4;;;;;;;;1;1;;;2;16;;;0;;;;;;;;;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;85;4;1;3;;;5;6;3;5;1;1;0;0;1;1;1;2;4;26.663.856.388;0.6569820502
31860;3;1;1;1;1;1958;1;;;1;3;;;;;;;;1;1;;;1;2;;;1;;23;2;;;1;41;0;1;100;2;;;1;0;22;64;90;2;;1;2;2;2;2;2;2;;4311;15;;2;2;;62;15;3;15;;;4;2;1;3;1;1;1;3;3;3;4;2;4;35.642.018.637;0.8781987923
31860;3;2;2;2;1;1961;1;;;1;5;;40;60;;1980;5;2;2;2;;;1;3;;;1;;28;2;;;1;31;0;1;;2;;;1;0;0;;;2;;1;2;2;2;2;2;2;;2352;16;;2;2;;59;15;3;15;;;4;2;1;3;0;1;1;3;3;3;4;2;4;35.642.018.637;0.8781987923
